date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol,symbol_encoded
2024-08-29,1503.1,1537.0,1494.0,1520.9,38335358,0.015083761596476,0.0152192777518191,0.0089376594242845,12210479.8,1484.19,1513.774,1,0.4139534787452721,57.52037968139552,23.07946175036485,0.0,0.2739167598132685,0.2739167598132685,0,RELIANCE,1
2024-08-30,1534.0,1539.7,1503.3,1509.6,41620730,-0.0074298112959433,0.0063999999999999,0.0101387245153536,15430862.6,1483.9050000000002,1514.793,1,-0.6703296519140214,53.563490347667845,24.03092876819594,0.0004636989931107,0.2684817170111288,0.2689454160042395,0,RELIANCE,1
2024-09-02,1510.9,1526.8,1506.6,1516.25,11240852,0.0044051404345522,0.0024130635991008,0.0095832732640014,15175173.6,1484.7525,1515.644,1,0.2648514720370507,55.50342298017553,23.75729099903909,0.0025391591096454,0.2716900247320692,0.2742291838417147,0,RELIANCE,1
2024-09-03,1521.25,1523.0,1507.5,1509.1,10923800,-0.0047155812036274,0.0057649371855108,0.0089363035932101,15426372.8,1487.8425,1516.7419999999995,1,-0.7838709171696242,52.9424770094111,23.16748449910773,0.0007951759326751,0.2682393479557352,0.2690345238884103,0,RELIANCE,1
2024-09-04,1500.7,1517.5,1499.5,1514.55,11983304,0.0036114240275662,0.0108456250417139,0.0088516128160232,15847703.6,1490.7675,1518.203,1,0.7694444016975281,54.6597513847884,22.798378463457173,-0.0028061140272688,0.2708725363969496,0.2680664223696807,0,RELIANCE,1
2024-09-05,1519.05,1525.8,1487.05,1493.0,16264168,-0.0142286487735631,-0.0183444013413111,0.0078253035513705,16429542.2,1492.1775,1518.98,1,-0.6722580471675331,47.30814858869039,23.937780001781658,0.0004018754186201,0.2603482920294709,0.260750167448091,0,RELIANCE,1
2024-09-06,1492.5,1497.0,1461.6,1464.8,19394228,-0.0188881446751507,-0.0296767355590884,0.0104415551951563,17443999.6,1492.9625,1517.996,0,-0.7824858536020939,39.77011969888348,24.7565100016544,0.0196613872200982,0.2461086837793555,0.2657700709994538,0,RELIANCE,1
2024-09-09,1466.5,1469.9,1455.6,1462.45,9010298,-0.0016043145821954,-0.0354822753503709,0.0092246875913825,17463418.0,1492.37,1516.634,0,-0.2832167634114084,39.20943861149806,24.009616430107677,0.0212998734999486,0.2448972614448357,0.2661971349447844,0,RELIANCE,1
2024-09-10,1460.5,1472.05,1457.6,1461.5,10768260,-0.0006495948579439,-0.031541978662779,0.0096633881053444,17915128.4,1492.415,1514.556,0,0.0692041474599203,38.97025430828867,23.326786685099982,0.0219637358877864,0.2444064317482039,0.2663701676359903,0,RELIANCE,1
2024-09-11,1463.05,1468.75,1447.55,1451.5,9760202,-0.006842285323298,-0.0416295269221881,0.007947355655099,17930120.0,1491.81,1512.3829999999998,0,-0.5448112950560676,36.44969442031644,23.17487335044999,0.0290044781260764,0.2392008267309679,0.2682053048570444,0,RELIANCE,1
2024-09-12,1457.0,1486.0,1445.9,1479.8,22349376,0.0194970719944884,-0.008841259209645,0.0138951767809705,16331521.8,1492.7075,1510.675,0,0.5685785394369444,46.91409035065747,24.383810968274982,0.0093255845384511,0.2537505068252466,0.2630760913636977,0,RELIANCE,1
2024-09-13,1476.4,1483.15,1469.5,1472.6,8711328,-0.0048655223678876,0.0053249590387765,0.0105770241654019,13040581.6,1492.4275,1509.0790000000002,0,-0.2783882579935457,44.88889831322502,23.61711018482677,0.0142604916474263,0.2501018606546245,0.2643623523020508,0,RELIANCE,1
2024-09-16,1477.55,1480.9,1464.75,1471.35,5481774,-0.0008488387885372,0.0060856781428424,0.0105339164536977,12464673.8,1491.575,1507.4260000000002,0,-0.3839009050216164,44.52950254861647,23.083745171624862,0.0151221667176402,0.2494647772453868,0.2645869439630271,0,RELIANCE,1
2024-09-17,1474.0,1477.5,1466.6,1472.3,5935328,0.0006456655452475,0.0073896681491618,0.010491111100441,11965826.6,1490.3925,1505.1,0,-0.1559632884437378,44.89062770912669,22.213477659365957,0.0144671602254974,0.2499490592949806,0.2644162195204781,0,RELIANCE,1
