date,open,high,low,close,volume,returns_1d,returns_5d,volatility_5d,avg_volume_10d,sma_20,sma_50,above_20ma,candle_body_ratio,rsi_14,atr_14,resistance_distance,support_distance,sr_band_width,label,symbol
2022-07-01,12.65,12.75,12.55,12.65,18633694,0.0,-0.007843137254901933,0.007092460389404017,41957270.9,12.7525,13.117,0,0.0,44.18762715497093,0.32609503976599974,0.9430830039525689,0.00395256916996053,0.9470355731225295,0,YESBANK
2022-07-04,12.65,12.75,12.6,12.65,21510057,0.0,-0.015564202334630295,0.005075112956816583,34734443.5,12.7275,13.091000000000001,0,0.0,44.18762715497093,0.3135168226398569,0.9430830039525689,0.00395256916996053,0.9470355731225295,0,YESBANK
2022-07-05,12.7,12.85,12.6,12.65,20011968,0.0,-0.015564202334630295,0.005075112956816583,32808196.3,12.7075,13.069,0,-0.19999920000319574,44.18762715497093,0.30897990673701,0.9430830039525689,0.00395256916996053,0.9470355731225295,0,YESBANK
2022-07-06,12.65,12.7,12.55,12.65,23304730,0.0,-0.00393700787401563,0.001760683446851098,32488895.3,12.68,13.047,0,0.0,44.18762715497093,0.2976241991129377,0.9430830039525689,0.00395256916996053,0.9470355731225295,1,YESBANK
2022-07-07,12.7,12.95,12.7,12.85,27916898,0.015810276679841806,0.015810276679841806,0.00707057067984142,32496478.1,12.6625,13.033,1,0.5999976000096015,51.12013044641656,0.29779389917629917,0.9128404669260699,0.019455252918287938,0.9322957198443579,0,YESBANK
2022-07-08,12.9,12.95,12.7,12.8,19792617,-0.0038910505836574627,0.011857707509881354,0.007692391260059372,25813180.4,12.655000000000001,13.015999999999998,1,-0.3999984000063986,49.4659213954513,0.29438004923513494,0.9203124999999998,0.015625000000000083,0.9359374999999999,0,YESBANK
2022-07-11,12.75,13.35,12.7,13.15,92442757,0.02734375,0.03952569169960474,0.013270922434163487,31712918.4,12.6725,13.006000000000002,1,0.61538366864051,59.375756891748104,0.3197814742897682,0.8692015209125473,0.04182509505703427,0.9110266159695817,1,YESBANK
2022-07-12,13.15,13.7,13.1,13.35,92851423,0.015209125475285079,0.05533596837944654,0.012754031864480275,37683942.5,12.705000000000002,12.996999999999998,1,0.3333327777787027,63.75030399544431,0.3397970832690705,0.8411985018726591,0.056179775280898875,0.897378277153558,0,YESBANK
2022-07-13,13.5,13.6,13.15,13.25,50448827,-0.0074906367041198685,0.04743083003952564,0.01465231479272061,40075962.0,12.73,12.991,1,-0.5555543209903987,60.25644017687743,0.3476687201784226,0.8550943396226414,0.04905660377358493,0.9041509433962263,0,YESBANK
2022-07-14,13.35,13.5,13.1,13.3,40934758,0.0037735849056603765,0.035019455252918386,0.014320095883030896,40784772.9,12.77,12.987,1,-0.12499968750077849,61.39567783476482,0.35140666873710674,0.8481203007518795,0.0526315789473685,0.900751879699248,0,YESBANK
2022-07-15,13.35,13.5,13.1,13.3,58240029,0.0,0.0390625,0.013672083810883737,44745406.4,12.8125,12.988999999999999,1,-0.12499968750077849,61.39567783476481,0.35487762097017056,0.8481203007518795,0.0526315789473685,0.900751879699248,1,YESBANK
2022-07-18,13.4,13.5,13.25,13.35,62818790,0.003759398496240518,0.015209125475285079,0.00820485641801073,48876279.7,12.8625,12.997,1,-0.19999920000320284,62.637758656936875,0.3473863623294441,0.8411985018726591,0.056179775280898875,0.897378277153558,1,YESBANK
2022-07-19,13.35,13.55,13.3,13.5,61974559,0.011235955056179803,0.011235955056179803,0.006806051099218568,53072538.8,12.907500000000002,13.007,1,0.5999976000096015,66.15582331275647,0.3404301935916267,0.8207407407407407,0.0666666666666667,0.8874074074074073,1,YESBANK
2022-07-20,13.6,13.7,13.55,13.6,41676425,0.007407407407407307,0.026415094339622636,0.004255854028384048,54909708.3,12.965,13.022,1,0.0,68.29890434362217,0.330399465477939,0.8073529411764705,0.07352941176470588,0.8808823529411764,0,YESBANK
2022-07-21,13.65,14.5,13.55,14.3,166126277,0.05147058823529416,0.07518796992481214,0.02093452027515602,68730646.2,13.0575,13.057,1,0.6842098060949419,78.54192615444451,0.37465664651522906,0.7188811188811187,0.11888111888111895,0.8377622377622376,1,YESBANK
2022-07-22,14.5,15.0,14.45,14.7,159313294,0.027972027972027913,0.10526315789473673,0.019700311416756024,82682713.9,13.155000000000001,13.102,1,0.36363570248053917,82.10094687591052,0.3978954574784269,0.672108843537415,0.14285714285714285,0.8149659863945578,0,YESBANK
2022-07-25,14.85,14.95,13.9,14.25,162099771,-0.030612244897959107,0.0674157303370786,0.030163474437301503,89648415.3,13.225,13.133,1,-0.571428027211403,68.36362510827976,0.4444743533728249,0.7249122807017543,0.11578947368421055,0.8407017543859648,0,YESBANK
2022-07-26,14.25,14.35,13.65,13.7,85276540,-0.038596491228070184,0.014814814814814836,0.038246180053090814,88890927.0,13.267500000000002,13.140999999999998,1,-0.7857131632669114,56.024910122868455,0.462726185274766,0.7941605839416058,0.08029197080291968,0.8744525547445255,1,YESBANK
2022-07-27,13.75,14.9,13.7,14.7,215320288,0.07299270072992692,0.0808823529411764,0.04950014162633685,105378073.1,13.367500000000001,13.157,1,0.791666006944993,67.5076976373856,0.5153886006122829,0.672108843537415,0.14285714285714285,0.8149659863945578,1,YESBANK
2022-07-28,14.8,15.0,14.35,14.55,121638236,-0.010204081632652962,0.0174825174825175,0.046228761854586305,113448420.9,13.4625,13.178999999999998,1,-0.3846147929003184,64.77540825811731,0.5250037005685484,0.6893470790378005,0.1340206185567011,0.8233676975945016,1,YESBANK
2022-07-29,14.7,15.3,14.65,14.95,240308552,0.027491408934707806,0.017006802721088343,0.04616772143858687,131655273.2,13.5775,13.199000000000002,1,0.3846147929003184,68.44331426428,0.5410748648136521,0.6441471571906354,0.157190635451505,0.8013377926421404,1,YESBANK
